Start,Peak,End,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry,Channel,IdxChannel
1890.17578125,1890.59375,1890.73828125,0.5625,30.188996257232844,6.766400712470285,1.8903600280086417,0.3789129371535959,13.817522637235015,7.0,0.7379310344827587,CP6A1,17
1892.2421875,1892.56640625,1893.4921875,1.25,50.193125557517206,11.734469282795718,1.8338129899531934,0.2802060958026835,11.644701615094885,15.0,0.2585669781931464,CP6A1,17
1907.70703125,1908.01171875,1908.47265625,0.765625,48.83233118923048,10.684985652170718,2.1516051294312235,0.35477865278964194,12.030337108554491,10.0,0.39593908629441626,CP6A1,17
1914.37890625,1914.9609375,1915.34375,0.96484375,51.603960030910685,11.975226476556537,2.068647602670283,0.32738648818425575,13.229403107006227,13.0,0.6008064516129032,CP6A1,17
1923.26171875,1923.6328125,1924.3203125,1.05859375,65.023839311546,12.420305181085505,1.7618561201722294,0.22229887771984652,12.277146093338697,11.0,0.3492647058823529,CP6A1,17
1927.1171875,1927.29296875,1927.57421875,0.45703125,37.885937176129346,7.84801101926894,1.8893697771526465,0.24710102333201855,12.608419740497707,6.0,0.3813559322033898,CP6A1,17
1932.74609375,1932.921875,1933.1015625,0.35546875,24.189930938807205,6.023461591380526,1.8514456872240102,0.2514827963991155,11.981603018486881,5.0,0.4891304347826087,CP6A1,17
1942.796875,1943.06640625,1943.19140625,0.39453125,32.39352051804633,8.441497022581485,2.0058767711137904,0.22400556351569845,12.543527146313671,5.0,0.6764705882352942,CP6A1,17
1947.23828125,1948.33203125,1948.796875,1.55859375,57.0524851163069,11.998180193373368,1.8605165385525195,0.27431969480609375,11.983267201017645,17.0,0.7,CP6A1,17
1957.109375,1957.2890625,1957.4296875,0.3203125,33.24726024667594,9.105761239126302,2.1265728722588375,0.24397184961469712,11.958208454376452,4.0,0.5542168674698795,CP6A1,17
1973.5234375,1973.9375,1974.5546875,1.03125,47.16620916858533,9.648328590119194,1.8789896882166066,0.3043441506356939,12.466506834039976,12.0,0.4,CP6A1,17
1977.98828125,1978.12890625,1978.63671875,0.6484375,34.81520862846381,7.4889845965883985,1.6802834369713944,0.3202336384622603,12.311462733866755,8.0,0.2155688622754491,CP6A1,17
1980.59765625,1981.24609375,1981.7734375,1.17578125,40.589538864280115,9.166087755876699,1.6905942285914226,0.2753069729509099,12.338286663335376,14.0,0.5496688741721855,CP6A1,17
1990.6484375,1990.8203125,1991.00390625,0.35546875,41.56900793515926,9.340668021721623,2.071951060240721,0.30039589849355613,13.300371748941334,5.0,0.4782608695652174,CP6A1,17
1998.37109375,1998.84765625,1998.97265625,0.6015625,31.91449911594549,8.324001017560482,1.7446362008426397,0.2613205388287049,11.24639644076668,7.0,0.7870967741935484,CP6A1,17
1999.8125,2000.1796875,2000.44921875,0.63671875,36.20593915204343,8.19901282141996,1.9332662671862533,0.30025621841875827,12.965948157048015,8.0,0.573170731707317,CP6A1,17
2017.87890625,2018.0234375,2018.26171875,0.3828125,31.82292808996571,8.76772142463806,2.1336368158210983,0.2952823536049354,12.838004104728796,5.0,0.37373737373737376,CP6A1,17
2025.59765625,2025.79296875,2026.0625,0.46484375,49.02435156876888,12.019374626208124,2.256292584975433,0.35808061668208213,13.185617697358785,6.0,0.4166666666666667,CP6A1,17
2039.1953125,2039.796875,2040.5078125,1.3125,82.97580191398498,17.227713441527182,2.146032700399383,0.2575795694722521,12.800702068424709,17.0,0.456973293768546,CP6A1,17
2045.02734375,2045.2265625,2045.39453125,0.3671875,30.969862869701323,7.605638445275596,1.9424003811113162,0.3038339078832707,12.409318233486706,5.0,0.5368421052631579,CP6A1,17
2074.02734375,2074.20703125,2074.640625,0.61328125,54.536204092331594,13.40238938812314,2.356893216773334,0.33120473359780966,12.889813661241137,8.0,0.2911392405063291,CP6A1,17
2095.08984375,2095.6328125,2096.1484375,1.05859375,43.06134235050796,10.527752165022079,2.012803140571047,0.37913481701607976,12.956662659138885,14.0,0.5110294117647058,CP6A1,17
2128.421875,2128.640625,2129.015625,0.59375,37.31210927657211,9.28324786982057,1.951789994471059,0.41412949500490887,12.303428829723059,7.0,0.3660130718954248,CP6A1,17
